Data,Valor,Descrição,Categoria
2026-08-01,-89.90,Supermercado Pao de Acucar,Mercado
2026-08-02,-45.50,Posto Ipiranga Combustivel,Transporte
2026-08-03,-120.00,Restaurante Mocoto,Restaurantes
2026-08-04,-34.90,Netflix Mensalidade,Lazer
2026-08-05,-250.00,Farmacia Drogasil,Saúde
2026-08-06,8500.00,Salario Mensal Empresa Tech,Salário
2026-08-07,-65.00,Uber Viagem Trabalho,Transporte
2026-08-08,-180.25,Compras Mercado Livre,Tecnologia
2026-08-09,-95.00,Padaria Bella Paulista,Restaurantes
2026-08-10,-320.00,Conta de Luz Enel,Utilidades
